Teams,Conference,2023 Returning Production,2023 Recruiting Class,2023 Offense EFF,2023 Defense EFF,2023 Special Teams EFF,2023 FPI,6+ Wins 2023,Made Playoffs 2023,Made National Championship 2023,Won National Championship 2023,2024 Returning Production,2024 Recruiting Class,2024 Offense EFF,2024 Defense EFF,2024 Special Teams EFF,2024 FPI,6+ Wins 2024,Made Playoffs 2024,Made National Championship 2024,Won National Championship 2024,2025 Returning Production,2025 Recruiting Class
Air Force,Mountain West,,,56.9,54.3,47.1,0.4,1,0,0,0,0.25,23.21,30.4,40.8,34.8,-9.5,0,0,0,0,0.56,80.06
Akron,MAC,,,14.5,35.8,38.5,-20.1,0,0,0,0,0.49,172.46,29.2,29.1,53.9,-15.4,0,0,0,0,0.49,137.19
Alabama,SEC,,,74.6,79.7,68.2,24.6,1,1,0,0,0.53,317.38,70.3,80.2,60.3,22.6,1,0,0,0,0.63,305.52
App State,SBC,,,59.5,44.2,52.7,-0.4,1,0,0,0,0.63,176.63,47.8,26.5,43.2,-7.1,0,0,0,0,0.43,175.29
Arizona,Big 12,,,76.1,61.9,58.8,12.6,1,0,0,0,0.68,218.36,42.7,38.4,48.8,-3.2,0,0,0,0,0.66,206.39
Arkansas,SEC,,,33.8,61.1,53.4,2.1,0,0,0,0,0.61,241.66,62.3,66.5,47.2,9,1,0,0,0,0.57,231.93
Arkansas State,SBC,,,40.5,32.4,58.7,-8.8,1,0,0,0,0.65,177.69,41.4,22.7,59.7,-11.1,1,0,0,0,0.46,177.27
Army,AAC,,,31.3,45.1,67,-8.6,1,0,0,0,0.47,37.76,76.3,54.7,51.2,4.4,1,0,0,0,0.51,85.68
ASU,Big 12,,,34.3,47.5,30.4,-7.3,0,0,0,0,0.65,220.05,79.2,65.5,44.3,12.3,1,1,0,0,0.79,210.89
Auburn,SEC,,,46.2,69.5,63.9,7.7,1,0,0,0,0.66,283.99,56.3,64.4,46.5,9.6,0,0,0,0,0.65,295.61
Ball State,MAC,,,24.5,43.1,37.7,-11.8,0,0,0,0,0.46,155.23,36.9,18.8,52.2,-17.6,0,0,0,0,0.32,154.01
Baylor,Big 12,,,31.9,30.4,67.5,-5,0,0,0,0,0.79,217.29,67.9,55.6,69.8,9,1,0,0,0,0.68,220.88
Boise State,Mountain West,,,69,50.8,41,4.6,1,0,0,0,0.68,194.99,77.3,63.8,39.3,10.6,1,1,0,0,0.69,187.35
Boston College,ACC,,,52.6,35.1,51.6,-3.5,1,0,0,0,0.68,197.25,53.6,61.1,42.1,4.2,1,0,0,0,0.63,197.19
Bowling Green,MAC,,,35.1,54.7,61.2,-5.6,1,0,0,0,0.66,168.95,45,52.7,36,-3.5,1,0,0,0,0.38,174.26
Buffalo,MAC,,,16.6,39.3,41.2,-13.7,0,0,0,0,0.51,162.68,32.9,50.4,61.4,-8.7,1,0,0,0,0.57,160.54
BYU,Big 12,,,35.9,61.8,60.6,-1.9,0,0,0,0,0.65,210.53,65.8,72.6,67.6,10.8,1,0,0,0,0.61,200.19
California,ACC,,,45.4,60.3,43.1,2.9,1,0,0,0,0.66,225.75,41.9,63.5,55.1,3.4,1,0,0,0,0.52,208.74
